psmid|articleid|assetid|counter
cho_book_1975_lawson_000_0000|15|UCXKQC408589626|1
cho_book_1975_lawson_000_0000|16|FXRYFW883430667|1
cho_book_1975_lawson_000_0000|17|TNDYVH777101810|1
cho_book_1975_lawson_000_0000|2|LGVYLI321033933|1
cho_book_1975_lawson_000_0000|3|AOZKKS731894329|1
cho_binx_1942_0019_000_0000|92|DGQIDK803769710|1
cho_book_1975_lawson_000_0000|5|DOQKOK841434548|1
cho_book_1975_lawson_000_0000|6|EPZRSB369802846|1
cho_book_1975_lawson_000_0000|7|YGWEAE799231238|1
cho_book_1975_lawson_000_0000|8|SEPJGJ505820595|1
cho_book_1975_lawson_000_0000|9|RWUICY767867678|1
cho_book_1975_lipton_000_0000|1|TUAIYF519767465|1
cho_book_1975_lipton_000_0000|10|BXJIOO431224104|1
cho_book_1975_lipton_000_0000|11|CODEPM170705796|1
cho_book_1975_lipton_000_0000|12|THFEFC490087575|1
cho_book_1975_lipton_000_0000|13|QCBIPJ840790482|1
cho_book_1975_lipton_000_0000|14|LXWHVW955391632|1
cho_book_1975_lipton_000_0000|15|EEKMKD541649618|1
cho_book_1975_lipton_000_0000|16|TKMBYX180272199|1
cho_book_1975_lipton_000_0000|17|TVHKJA812520615|1
cho_book_1975_lipton_000_0000|18|MCXAUD494251634|1
cho_book_1975_lipton_000_0000|19|VSIWWC521421982|1
cho_book_1975_lipton_000_0000|2|SBSOCW911315141|1
cho_book_1975_lipton_000_0000|20|APPSOX551397966|1
cho_book_1975_lipton_000_0000|21|IRQJJT952739453|1
cho_book_1975_lipton_000_0000|22|QYGXHT885048961|1
cho_book_1975_lipton_000_0000|23|CKUQKU112504527|1
cho_book_1975_lipton_000_0000|3|OMVMTY574622684|1
cho_binx_1942_0019_000_0000|93|UYAQPT335488026|1
cho_book_1975_lipton_000_0000|5|JOMXLP911565311|1
cho_book_1975_lipton_000_0000|6|GQVJJA443266594|1
cho_book_1975_lipton_000_0000|7|EZZDIM117792380|1
cho_book_1975_lipton_000_0000|8|LMAXWF097889601|1
cho_book_1975_lipton_000_0000|9|FHGBLM044396194|1
cho_book_1975_mcinnes_000_0000|1|MLKNPX733562446|1
cho_book_1975_mcinnes_000_0000|10|PXHXWE392331165|1
cho_book_1975_mcinnes_000_0000|2|EIVMEZ806484986|1
cho_book_1975_mcinnes_000_0000|3|MDVAEV895502809|1
cho_book_1975_mcinnes_000_0000|4|PVZGGT310392393|1
cho_book_1975_mcinnes_000_0000|5|BNWEMW853827617|1
cho_book_1975_mcinnes_000_0000|6|FHMDKG191366884|1
cho_book_1975_mcinnes_000_0000|7|KRHUJQ403155272|1
cho_book_1975_mcinnes_000_0000|8|HZSVMK261776685|1
cho_book_1975_mcinnes_000_0000|9|TNBBNC198997575|1
cho_book_1975_Saeter_000_0000|1|GKYWBN829745238|1
cho_book_1975_Saeter_000_0000|10|SVFNDF982950042|1
cho_book_1975_Saeter_000_0000|11|TTHNLF196708509|1
cho_book_1975_Saeter_000_0000|12|OKSUMP814113531|1
cho_book_1975_Saeter_000_0000|13|XADVIO299604847|1
cho_book_1975_Saeter_000_0000|14|OUKNEJ169602604|1
cho_book_1975_Saeter_000_0000|15|BPLIXQ670490958|1
cho_book_1975_Saeter_000_0000|16|HYOUNV315779372|1
cho_book_1975_Saeter_000_0000|17|SMDXNT854018253|1
cho_book_1975_Saeter_000_0000|2|JLDWJS889666645|1
cho_binx_1927-1928_0004_000_0000|153|MKBKXA480139560|1
cho_book_1975_Saeter_000_0000|4|EFTXCI579373162|1
cho_book_1975_Saeter_000_0000|5|CJMOLX906790230|1
cho_book_1975_Saeter_000_0000|6|BAAYVJ866208132|1
cho_binx_1932-1933_0009_000_0000|78|LJBSKN724788032|1
cho_book_1975_Saeter_000_0000|8|GGOOTZ488554486|1
cho_book_1975_Saeter_000_0000|9|BTAIBB650780747|1
cho_book_1975_zauberman_000_0000|1|EQABZG652007620|1
cho_book_1975_zauberman_000_0000|10|IMPWZG979249935|1
cho_book_1975_zauberman_000_0000|11|DXJOXT888334056|1
cho_book_1975_zauberman_000_0000|12|XAGLXF975099403|1
cho_book_1975_zauberman_000_0000|13|QEXOQZ025485941|1
cho_book_1975_zauberman_000_0000|14|NEBQIK573801755|1
cho_book_1975_zauberman_000_0000|15|YKYHIC951264475|1
cho_book_1975_zauberman_000_0000|16|AJUSXH163428666|1
cho_book_1975_zauberman_000_0000|17|JMLSSV729169005|1
cho_book_1975_zauberman_000_0000|18|FFGURG453846440|1
cho_book_1975_zauberman_000_0000|19|DRBEID502973331|1
cho_book_1975_zauberman_000_0000|2|MHTBOX368232303|1
cho_book_1975_zauberman_000_0000|20|DORISJ708205317|1
cho_book_1975_zauberman_000_0000|21|JTIANJ458313264|1
cho_book_1975_zauberman_000_0000|22|EOPPWH708549544|1
cho_book_1975_zauberman_000_0000|23|RBTXFV798701164|1
cho_book_1975_zauberman_000_0000|24|EHFYJO311257410|1
cho_book_1975_zauberman_000_0000|25|JZHOKG012539634|1
cho_book_1975_zauberman_000_0000|26|MJWAFA091489094|1
cho_book_1975_zauberman_000_0000|27|DJQNZF262281215|1
cho_book_1975_zauberman_000_0000|28|ZXIHBH917179581|1
cho_book_1975_zauberman_000_0000|29|UUCXOQ829226092|1
cho_book_1975_zauberman_000_0000|3|BYLMVU647779025|1
cho_book_1975_zauberman_000_0000|30|WHAPVZ684895408|1
cho_book_1975_zauberman_000_0000|31|DPMIHA260710537|1
cho_book_1975_zauberman_000_0000|32|NEMNDM254621927|1
cho_book_1975_zauberman_000_0000|33|UVZYBN828863870|1
cho_book_1975_zauberman_000_0000|34|WFPITV437306550|1
cho_book_1975_zauberman_000_0000|35|OPJHFF825019963|1
cho_book_1975_zauberman_000_0000|4|ACCVAG702761293|1
cho_book_1975_zauberman_000_0000|5|WOIJVE489522088|1
cho_book_1975_zauberman_000_0000|6|RLVUHF751812113|1
cho_book_1975_zauberman_000_0000|7|PXMNEF454461739|1
cho_book_1975_zauberman_000_0000|8|ZMRBTL875464208|1
cho_book_1975_zauberman_000_0000|9|BHPDOF008450343|1
cho_book_1976_0001_000_0000|1|IUGWIB160586951|1
cho_book_1976_0001_000_0000|10|PXPUCF363095274|1
cho_binx_1942_0019_000_0000|94|WLCKSE872779132|1
cho_book_1976_0001_000_0000|12|ARTDPC284252507|1
cho_book_1976_0001_000_0000|13|QSXOQH550744313|1
cho_book_1976_0001_000_0000|14|WFFVMH092937811|1
cho_book_1976_0001_000_0000|15|IGQMJA459444133|1
cho_book_1976_0001_000_0000|16|JUUFVB213570583|1
cho_book_1976_0001_000_0000|17|PZOYHB163624345|1
cho_book_1976_0001_000_0000|18|QXFQMK318115093|1
cho_book_1976_0001_000_0000|19|EXSRFX936987842|1
cho_book_1976_0001_000_0000|2|YISGVR124950129|1
cho_book_1976_0001_000_0000|20|ZCCHHM343727147|1
cho_book_1976_0001_000_0000|21|ZLMBFA144953650|1
cho_book_1976_0001_000_0000|22|XPCHUH273802806|1
cho_book_1976_0001_000_0000|23|YWINWY161191352|1
cho_book_1976_0001_000_0000|24|XPCQLD789663652|1
cho_book_1976_0001_000_0000|25|XZQNWN166318625|1
cho_book_1976_0001_000_0000|26|SQKTRF349295513|1
cho_book_1976_0001_000_0000|27|AJAJCW167660848|1
cho_book_1976_0001_000_0000|28|UTJQEA730901579|1
cho_book_1976_0001_000_0000|29|SOXYEH867321290|1
cho_book_1976_0001_000_0000|3|EYDKRZ188700115|1
cho_book_1976_0001_000_0000|4|SRFLSG056999977|1
cho_book_1976_0001_000_0000|5|BPTVLW569757828|1
cho_book_1976_0001_000_0000|6|VDTUFQ092080152|1
cho_book_1976_0001_000_0000|7|GYJQGO640210494|1
cho_book_1976_0001_000_0000|8|YTSELM665074485|1
cho_book_1976_0001_000_0000|9|UUQJQF292551024|1
cho_book_1976_0002_000_0000|1|GIEYUT365250879|1
cho_book_1976_0002_000_0000|10|HOIWDP733363815|1
cho_binx_1942_0019_000_0000|95|FVENXK990691866|1
cho_book_1976_0002_000_0000|12|UYDGBN557223589|1
cho_book_1976_0002_000_0000|13|ZXBNUK598356969|1
cho_book_1976_0002_000_0000|14|WQFOUT494076683|1
cho_book_1976_0002_000_0000|15|FPZRCO878945128|1
cho_binx_1932-1933_0009_000_0000|79|PBOOAZ043298889|1
cho_book_1976_0002_000_0000|17|ALXSDI238630029|1
cho_book_1976_0002_000_0000|18|LFZRFL562745296|1
cho_book_1976_0002_000_0000|19|KIANIZ133317938|1
cho_book_1976_0002_000_0000|2|IPJFWL824374709|1
cho_book_1976_0002_000_0000|20|NKVUVL414416387|1
cho_book_1976_0002_000_0000|21|JHUXWY800449902|1
cho_book_1976_0002_000_0000|22|IVREME749321748|1
cho_book_1976_0002_000_0000|23|FZHAAV214747288|1
cho_book_1976_0002_000_0000|24|HDYQVH685787950|1
cho_book_1976_0002_000_0000|25|SMDUBR510735535|1
cho_book_1976_0002_000_0000|3|FNYHUL686818143|1
cho_book_1976_0002_000_0000|4|KZKDNS981296042|1
cho_book_1976_0002_000_0000|5|JDZIEV510943829|1
cho_book_1976_0002_000_0000|6|RKSLDX009232786|1
cho_book_1976_0002_000_0000|7|KBQOKN480357353|1
cho_book_1976_0002_000_0000|8|RBYEDH354215600|1
cho_book_1976_0002_000_0000|9|ODMFWV774794949|1
cho_book_1976_hutchings_000_0000|1|VVHNCR227592464|1
cho_book_1976_hutchings_000_0000|10|SJGHRW586780269|1
cho_book_1976_hutchings_000_0000|11|UNBJVN997889489|1
cho_book_1976_hutchings_000_0000|12|CKSTOC250172863|1
cho_book_1976_hutchings_000_0000|13|WBUJOD139094586|1
cho_book_1976_hutchings_000_0000|14|JPWFIL943891444|1
cho_book_1976_hutchings_000_0000|15|QEJJUV389045918|1
cho_book_1976_hutchings_000_0000|16|BSWJNQ164337900|1
cho_book_1976_hutchings_000_0000|17|RQSFQI077060712|1
cho_book_1976_hutchings_000_0000|18|LPINQN953678658|1
cho_book_1976_hutchings_000_0000|19|PHAQJG855659381|1
cho_book_1976_hutchings_000_0000|2|TDBTFR734128884|1
cho_book_1976_hutchings_000_0000|20|KLJRPK311316296|1
cho_book_1976_hutchings_000_0000|21|JLIRSO634133101|1
cho_book_1976_hutchings_000_0000|3|UVTYYX463043154|1
cho_book_1976_hutchings_000_0000|4|CIJAQE484041114|1
cho_book_1976_hutchings_000_0000|5|SIZEZV700250574|1
cho_book_1976_hutchings_000_0000|6|OOHEFU428145505|1
cho_book_1976_hutchings_000_0000|7|ZMBJKS322872140|1
cho_book_1976_hutchings_000_0000|8|NJEVVX116757794|1
cho_book_1976_hutchings_000_0000|9|XGGPAV286570162|1
cho_book_1976_kitamura_000_0000|1|JNLDUW727301767|1
cho_book_1976_kitamura_000_0000|10|OVZXEC294908848|1
cho_book_1976_kitamura_000_0000|11|GDCYSL385071803|1
cho_book_1976_kitamura_000_0000|12|KPCSYC374691939|1
cho_book_1976_kitamura_000_0000|13|PBQQZR346702744|1
cho_book_1976_kitamura_000_0000|14|XVTBNS552756524|1
cho_book_1976_kitamura_000_0000|15|KLMIHF784887660|1
cho_book_1976_kitamura_000_0000|16|BJPNXF067879665|1
cho_book_1976_kitamura_000_0000|17|RNQYWL306930084|1
cho_book_1976_kitamura_000_0000|18|AOILTP171254086|1
cho_book_1976_kitamura_000_0000|19|TGXAQD143784615|1
cho_book_1976_kitamura_000_0000|2|FZGSLZ663652900|1
cho_book_1976_kitamura_000_0000|3|BQRGUL613102633|1
cho_book_1976_kitamura_000_0000|4|IILZOS133640224|1
cho_book_1976_kitamura_000_0000|5|GHNTGZ963850168|1
cho_book_1976_kitamura_000_0000|6|QYIBGL478013847|1
cho_book_1976_kitamura_000_0000|7|UWWRNA259364576|1
cho_book_1976_kitamura_000_0000|8|FXDZSD504296041|1
cho_book_1976_kitamura_000_0000|9|IWAMPI475395405|1
cho_book_1976_maude_000_0000|1|PHCNDE459350160|1
cho_book_1976_maude_000_0000|10|PKNUFK614337799|1
cho_book_1976_maude_000_0000|11|WRRLLF512764026|1
cho_book_1976_maude_000_0000|12|OZWDKI230559733|1
cho_book_1976_maude_000_0000|13|OVTAID163840998|1
cho_book_1976_maude_000_0000|14|WLMFSB172475195|1
cho_book_1976_maude_000_0000|2|CJFJYQ588909002|1
cho_book_1976_maude_000_0000|3|YESHWG653187713|1
cho_book_1976_maude_000_0000|4|NTBZFV764357285|1
cho_book_1976_maude_000_0000|5|DUXTEJ532000948|1
cho_book_1976_maude_000_0000|6|MLKZUS516222139|1
cho_book_1976_maude_000_0000|7|QHFQQE232425818|1
cho_book_1976_maude_000_0000|8|TAZGEB015489339|1
cho_book_1976_maude_000_0000|9|JGHOHG887124869|1
cho_book_1976_russell_000_0000|1|YGHANK363812511|1
cho_book_1976_russell_000_0000|10|CSKSMJ016967554|1
cho_book_1976_russell_000_0000|11|BQASKI398949687|1
cho_book_1976_russell_000_0000|12|MIOIOE037330245|1
cho_book_1976_russell_000_0000|13|UGMZPH634416887|1
cho_book_1976_russell_000_0000|14|BWHDFH846461484|1
cho_book_1976_russell_000_0000|15|KUXQVF775269168|1
cho_book_1976_russell_000_0000|16|KXBTMS409088843|1
cho_book_1976_russell_000_0000|17|AVPGOZ023952147|1
cho_book_1976_russell_000_0000|18|GILYHD552811723|1
cho_book_1976_russell_000_0000|19|KMMLUR435170428|1
cho_book_1976_russell_000_0000|2|XSJQXO613763740|1
cho_book_1976_russell_000_0000|20|EBSWRX745643050|1
cho_book_1976_russell_000_0000|21|GEUHKF979931573|1
cho_book_1976_russell_000_0000|22|GOGFSU264891897|1
cho_book_1976_russell_000_0000|23|AYOSEP073862696|1
cho_book_1976_russell_000_0000|24|TETNHX744365151|1
cho_book_1976_russell_000_0000|25|TXNYYH160388620|1
cho_book_1976_russell_000_0000|26|EMHPGV658275688|1
cho_book_1976_russell_000_0000|27|ITLDUF715719694|1
cho_book_1976_russell_000_0000|28|WBLZGK126650949|1
cho_book_1976_russell_000_0000|29|HWZSWG285627736|1
cho_book_1976_russell_000_0000|3|QNHGVV154809022|1
cho_book_1976_russell_000_0000|30|GNTXCY004763891|1
cho_book_1976_russell_000_0000|31|TXCYXR830137710|1
cho_book_1976_russell_000_0000|4|YTGBNW310931467|1
cho_book_1976_russell_000_0000|5|GXCAZH500924345|1
cho_book_1976_russell_000_0000|6|MCKTYN157328212|1
cho_book_1976_russell_000_0000|7|XBNSZO583279653|1
cho_book_1976_russell_000_0000|8|WACWXF659350981|1
cho_book_1976_russell_000_0000|9|UWAGOS327940428|1
cho_book_1976_wallace_000_0000|1|VAGHJY615495843|1
cho_book_1976_wallace_000_0000|10|TALAFB381694576|1
cho_book_1976_wallace_000_0000|11|YCXFTM433165657|1
cho_book_1976_wallace_000_0000|12|CVHJWG781116448|1
cho_book_1976_wallace_000_0000|13|ODPGTA167666311|1
cho_book_1976_wallace_000_0000|14|CBLNXQ732541206|1
cho_book_1976_wallace_000_0000|15|VAECOJ300424944|1
cho_binx_1942_0019_000_0000|96|ZVCGIV887931708|1
cho_book_1976_wallace_000_0000|17|DYUMIS242875621|1
cho_book_1976_wallace_000_0000|18|KJTTFY246561767|1
cho_book_1976_wallace_000_0000|19|WFRZRS933838500|1
cho_book_1976_wallace_000_0000|2|LVBAPN232477172|1
cho_book_1976_wallace_000_0000|20|ETQBIS607355612|1
cho_book_1976_wallace_000_0000|21|LCBAKG964716181|1
cho_book_1976_wallace_000_0000|3|FUNHXS899616202|1
cho_book_1976_wallace_000_0000|4|JUBHDD365333177|1
cho_book_1976_wallace_000_0000|5|KSJMBW825865413|1
cho_book_1976_wallace_000_0000|6|ATMSZR981274720|1
cho_book_1976_wallace_000_0000|7|SDHNQA299415866|1
cho_book_1976_wallace_000_0000|8|CRYAKI289870479|1
cho_book_1976_wallace_000_0000|9|RBYYZU777131571|1
cho_book_1977_ahmad_000_0000|1|EZMOHJ030266057|1
cho_book_1977_ahmad_000_0000|10|ZHDNCN327946071|1
cho_book_1977_ahmad_000_0000|11|FKTPPP531344195|1
cho_book_1977_ahmad_000_0000|12|IQOLUY429721010|1
cho_book_1977_ahmad_000_0000|13|KJKKQR848209088|1
cho_book_1977_ahmad_000_0000|14|SXFIUR899697648|1
cho_book_1977_ahmad_000_0000|15|MDRPPH931300735|1
cho_book_1977_ahmad_000_0000|16|MWILQC252348828|1
cho_book_1977_ahmad_000_0000|17|TWDNLZ557404932|1
cho_book_1977_ahmad_000_0000|18|OVTUSC746106030|1
cho_book_1977_ahmad_000_0000|19|SNQZHV841938642|1
cho_book_1977_ahmad_000_0000|2|ZBMVKM237515785|1
cho_book_1977_ahmad_000_0000|20|QQEKBE672875120|1
cho_book_1977_ahmad_000_0000|21|ZELXDE892903276|1
cho_book_1977_ahmad_000_0000|22|UGIPOA181651875|1
cho_book_1977_ahmad_000_0000|23|GVHIGI492211300|1
cho_book_1977_ahmad_000_0000|24|RVXHXU865558772|1
cho_book_1977_ahmad_000_0000|3|OKYYGN760771562|1
cho_book_1977_ahmad_000_0000|4|JXJKRF688710763|1
cho_book_1977_ahmad_000_0000|5|UFLQIN555550987|1
cho_book_1977_ahmad_000_0000|6|IXLYSE298063482|1
cho_book_1977_ahmad_000_0000|7|WSIBRI405417869|1
cho_book_1977_ahmad_000_0000|8|PKGMPG144042719|1
cho_book_1977_ahmad_000_0000|9|WIBBXZ480928665|1
cho_book_1977_hudson_000_0000|1|JVDWJE254327507|1
cho_book_1977_hudson_000_0000|10|RESSDN880692104|1
cho_book_1977_hudson_000_0000|11|SGDUGX466596420|1
cho_book_1977_hudson_000_0000|12|RRBHTO307508144|1
cho_book_1977_hudson_000_0000|13|UOASTA334115059|1
cho_book_1977_hudson_000_0000|14|FMUABR008453754|1
cho_book_1977_hudson_000_0000|15|JSWGDZ704980671|1
cho_book_1977_hudson_000_0000|16|AQEPPT782590860|1
cho_book_1977_hudson_000_0000|17|KFVRIO071452401|1
cho_book_1977_hudson_000_0000|18|PPAGPB136702474|1
cho_book_1977_hudson_000_0000|19|NHCWSR054458657|1
cho_book_1977_hudson_000_0000|2|JMXVNP851241232|1
cho_book_1977_hudson_000_0000|3|VNZCEF735245958|1
cho_book_1977_hudson_000_0000|4|LNYDKH247002371|1
cho_book_1977_hudson_000_0000|5|RPQHDD039252614|1
cho_book_1977_hudson_000_0000|6|GAFVSV125209440|1
cho_book_1977_hudson_000_0000|7|GECQQL931966094|1
cho_book_1977_hudson_000_0000|8|DQDXNR871271855|1
cho_book_1977_hudson_000_0000|9|NTUNZT616893401|1
cho_book_1977_luard_000_0000|1|IIXAIN054467046|1
cho_book_1977_luard_000_0000|10|TOOQLF234144997|1
cho_book_1977_luard_000_0000|11|SSVCEN966865777|1
cho_book_1977_luard_000_0000|12|FKCBRI263403953|1
cho_book_1977_luard_000_0000|13|YWBGAK396378798|1
cho_book_1977_luard_000_0000|14|RWWLIR007393317|1
cho_book_1977_luard_000_0000|15|PPLZZK682192468|1
cho_book_1977_luard_000_0000|16|QTBLMS831420939|1
cho_book_1977_luard_000_0000|17|CBBAJR666039012|1
cho_book_1977_luard_000_0000|18|TYNYJE446385841|1
cho_book_1977_luard_000_0000|19|JJFHHJ480055800|1
cho_book_1977_luard_000_0000|2|QRVTGZ656825470|1
cho_book_1977_luard_000_0000|20|ZFFHTB861224020|1
cho_book_1977_luard_000_0000|21|ARXPNH208391838|1
cho_book_1977_luard_000_0000|22|IJUOQG627496442|1
cho_book_1977_luard_000_0000|23|WXQUCX594117311|1
cho_book_1977_luard_000_0000|24|TDJHKS078075921|1
cho_book_1977_luard_000_0000|25|JDXVWP999530556|1
cho_book_1977_luard_000_0000|26|AVDMID865533857|1
cho_book_1977_luard_000_0000|27|UNZROO701543460|1
cho_book_1977_luard_000_0000|28|QJDIDA351611130|1
cho_book_1977_luard_000_0000|29|YOEAXE620070673|1
cho_book_1977_luard_000_0000|3|AFUWCR131619040|1
cho_book_1977_luard_000_0000|4|OZSCLR482623316|1
cho_book_1977_luard_000_0000|5|FFKRBH930774863|1
cho_book_1977_luard_000_0000|6|BUKOEB527919212|1
cho_book_1977_luard_000_0000|7|IHNMNR047142086|1
cho_book_1977_luard_000_0000|8|DXXQDY677082382|1
cho_book_1977_luard_000_0000|9|PAVQNI021316866|1
cho_book_1978_mendl_000_0000|1|UQVYIE948044203|1
cho_book_1978_mendl_000_0000|10|HZPUDV817486624|1
cho_book_1978_mendl_000_0000|11|NHNSIP400928726|1
cho_book_1978_mendl_000_0000|12|GOWNVZ362830741|1
cho_binx_1942_0019_000_0000|97|BUUWRO018365102|1
cho_book_1978_mendl_000_0000|14|RBGIWH753424067|1
cho_book_1978_mendl_000_0000|15|DGCIRN469716041|1
cho_book_1978_mendl_000_0000|2|UMUSLZ209064786|1
cho_book_1978_mendl_000_0000|3|GDADSI041063252|1
cho_book_1978_mendl_000_0000|4|EPYMFY046889338|1
cho_book_1978_mendl_000_0000|5|NCNCQJ102207800|1
cho_book_1978_mendl_000_0000|6|FAWWCO690604650|1
cho_book_1978_mendl_000_0000|7|XDUDWH583862881|1
cho_book_1978_mendl_000_0000|8|KLAFSQ284648714|1
cho_book_1978_mendl_000_0000|9|HYIECB752372819|1
cho_book_1978_turner_000_0000|1|CCZOEH072307191|1
cho_book_1978_turner_000_0000|10|GMHYAZ458883400|1
cho_book_1978_turner_000_0000|11|QEHCZN474292325|1
cho_book_1978_turner_000_0000|12|OYBXCO019657023|1
cho_book_1978_turner_000_0000|13|VVYIYU407568657|1
cho_book_1978_turner_000_0000|14|DENCCP000318202|1
cho_book_1978_turner_000_0000|15|ZZXVYJ612153344|1
cho_book_1978_turner_000_0000|16|MJWOSQ813427820|1
cho_book_1978_turner_000_0000|17|RTZEXN518843774|1
cho_book_1978_turner_000_0000|18|IELDXY434549742|1
cho_book_1978_turner_000_0000|19|XWGSAP892151959|1
cho_book_1978_turner_000_0000|2|RUIBAJ220090658|1
cho_book_1978_turner_000_0000|20|BSCZFB880575660|1
cho_book_1978_turner_000_0000|21|NPMLYX501578349|1
cho_book_1978_turner_000_0000|3|SWJKLV793434687|1
cho_book_1978_turner_000_0000|4|TKGBVE288106569|1
cho_book_1978_turner_000_0000|5|KGGWVX597368135|1
cho_book_1978_turner_000_0000|6|DXDMYI194904023|1
cho_book_1978_turner_000_0000|7|WETQUT922947154|1
cho_book_1978_turner_000_0000|8|GCCOSP434329335|1
cho_book_1978_turner_000_0000|9|XNHSUC760375369|1
cho_book_1978_wight_000_0000|1|IEGKIY659858738|1
cho_book_1978_wight_000_0000|10|OFEJME297203262|1
cho_book_1978_wight_000_0000|11|NAVADH343806232|1
cho_book_1978_wight_000_0000|12|WULAJD316912975|1
cho_book_1978_wight_000_0000|13|YZABJO075399622|1
cho_book_1978_wight_000_0000|14|NOCHNS956952998|1
cho_book_1978_wight_000_0000|15|DQBDBF279900173|1
cho_book_1978_wight_000_0000|16|CMHEBA711470199|1
cho_book_1978_wight_000_0000|17|QAYMLL588026556|1
cho_book_1978_wight_000_0000|18|VKCDCF410937886|1
cho_book_1978_wight_000_0000|19|SACHDB283793041|1
cho_book_1978_wight_000_0000|2|CAJYSE466454181|1
cho_book_1978_wight_000_0000|20|WDCVVZ963230637|1
cho_book_1978_wight_000_0000|21|SAFZMZ722757560|1
cho_book_1978_wight_000_0000|22|PRARTY658661923|1
cho_book_1978_wight_000_0000|3|EUXMJN350892753|1
cho_book_1978_wight_000_0000|4|YZHKCW233341815|1
cho_book_1978_wight_000_0000|5|XMYXFL741188934|1
cho_book_1978_wight_000_0000|6|MUOFTS124143925|1
cho_book_1978_wight_000_0000|7|OZOQBM159365937|1
cho_book_1978_wight_000_0000|8|TDUXOG105610228|1
cho_book_1978_wight_000_0000|9|UGLACH930553370|1
cho_book_1979_beazley_000_0000|1|IMDHJI574070856|1
cho_book_1979_beazley_000_0000|10|WYMTVJ103891206|1
cho_book_1979_beazley_000_0000|11|ITRYVZ931227381|1
cho_book_1979_beazley_000_0000|12|PCCDNN155527215|1
cho_book_1979_beazley_000_0000|13|SNBSRY016010468|1
cho_book_1979_beazley_000_0000|14|AHOHUQ724385771|1
cho_book_1979_beazley_000_0000|15|ZSRILK437553654|1
cho_book_1979_beazley_000_0000|16|HICDFN136416261|1
cho_book_1979_beazley_000_0000|17|WVRZEG990624496|1
cho_book_1979_beazley_000_0000|18|FQZOFD301081390|1
cho_book_1979_beazley_000_0000|19|QQYZUX371340622|1
cho_book_1979_beazley_000_0000|2|GHYQAE131482481|1
cho_book_1979_beazley_000_0000|20|OPLNJK530135507|1
cho_book_1979_beazley_000_0000|3|AQMDXY305624741|1
cho_book_1979_beazley_000_0000|4|CHLKMJ935630029|1
cho_bcrc_1938_0000_001_0000|80|IJWAZC393152062|1
cho_book_1979_beazley_000_0000|6|GXQOFV262721049|1
cho_book_1979_beazley_000_0000|7|AHMXDN512695808|1
cho_book_1979_beazley_000_0000|8|LMEJRD591581971|1
cho_book_1979_beazley_000_0000|9|TZESYO944584478|1
cho_book_1979_brownlie_000_0000|1|JEJUXK939788609|1
cho_book_1979_brownlie_000_0000|10|XDBDSN539158953|1
cho_book_1979_brownlie_000_0000|100|MENKGW811933803|1
cho_bcrc_1949_0001_000_0000|32|LCTSEK503611362|1
cho_binx_1927-1928_0004_000_0000|154|PARAOO241743478|1
cho_book_1979_brownlie_000_0000|103|CNTYQP371210667|1
cho_book_1979_brownlie_000_0000|104|SKMOWJ135911672|1
cho_book_1979_brownlie_000_0000|105|KCANTR976515311|1
cho_book_1979_brownlie_000_0000|106|REBOQK543782066|1
cho_book_1979_brownlie_000_0000|107|LUBOGA624061784|1
cho_book_1979_brownlie_000_0000|108|MGCGYV333465411|1
cho_binx_1932-1933_0009_000_0000|8|QUIYUM848286218|1
cho_book_1979_brownlie_000_0000|11|FCKVGF242892961|1
cho_book_1979_brownlie_000_0000|110|LUBERY241437155|1
cho_binx_1942_0019_000_0000|98|VRNPBQ750128449|1
cho_binx_1942_0019_000_0000|99|KHSYGM018663327|1
cho_binx_1932-1933_0009_000_0000|80|XBOVUZ367828579|1
cho_binx_1943_0020_000_0000|1|FADRYU175585380|1
cho_book_1979_brownlie_000_0000|115|RDVTXH941983116|1
cho_binx_1943_0020_000_0000|10|ZHXQEX849627630|1
cho_book_1979_brownlie_000_0000|117|CTXZDX946676920|1
cho_book_1979_brownlie_000_0000|118|XPXQXU859170372|1
cho_book_1979_brownlie_000_0000|119|KVUAZI683380594|1
cho_binx_1927-1928_0004_000_0000|155|PXLYBN968931306|1
cho_book_1979_brownlie_000_0000|120|MDMRRU759216962|1
cho_book_1979_brownlie_000_0000|121|ZOJJLB036587050|1
cho_book_1979_brownlie_000_0000|13|SYINFH270565715|1
cho_book_1979_brownlie_000_0000|14|MLBUTR882154132|1
cho_book_1979_brownlie_000_0000|15|MJJBCF504181942|1
cho_book_1979_brownlie_000_0000|16|ZVTYXT471466318|1
cho_book_1979_brownlie_000_0000|17|GQPLDB083671085|1
cho_book_1979_brownlie_000_0000|18|PGULGS564804235|1
cho_book_1979_brownlie_000_0000|19|CTRPBK424568628|1
cho_book_1979_brownlie_000_0000|2|NEWHCR277048264|1
cho_binx_1932-1933_0009_000_0000|81|SNCAFF101746996|1
cho_book_1979_brownlie_000_0000|21|OFSRUS217566572|1
cho_book_1979_brownlie_000_0000|22|IEEKTC330540230|1
cho_binx_1943_0020_000_0000|100|QRYSMQ553792743|1
cho_book_1979_brownlie_000_0000|24|RWYGRJ547835846|1
cho_book_1979_brownlie_000_0000|25|UDEKLR490227660|1
cho_book_1979_brownlie_000_0000|26|HAZKFK797277846|1
cho_book_1979_brownlie_000_0000|27|WJOELG070212258|1
cho_book_1979_brownlie_000_0000|28|TYMNSU507920994|1
cho_binx_1943_0020_000_0000|101|WNACNO037361583|1
