"psmid"|"early_articlesequence"|"latest_articlesequence"|"early_fulltitle"|"latest_fulltitle"|"early_aucomposed"|"latest_aucomposed"|"early_assetid"|"latest_assetid"|"atlashubuid"
"cho_byil_1938_0019_000_0000"|"54"|"54"|"Politische Pakte und Völkerrechtliche Ordnung"|"Oppenheim's International Law, Vol. I, Peace"|"Benjamin Akzin"|""|"OLYZLD780117997"|"OLYZLD780117997"|""
"cho_byil_1938_0019_000_0000"|"55"|"55"|"Diplomatic Correspondence of the United States: Inter-American Affairs, 1831-60. Vol. VIII (Mexico)"|"Politische Pakte und Völkerrechtliche Ordnung"|"H. A. S."|"Benjamin Akzin"|"KFDVTQ741824722"|"KFDVTQ741824722"|""
"cho_byil_1938_0019_000_0000"|"56"|"56"|"Juridical Bases of Diplomatic Immunity"|"Diplomatic Correspondence of the United States: Inter-American Affairs, 1831-60. Vol. VIII (Mexico)"|"H. J. S. Jenkins"|"H. A. S."|"EYMJTU450885038"|"EYMJTU450885038"|""
"cho_byil_1938_0019_000_0000"|"57"|"57"|"Diritto Internazionale Pubblico"|"Juridical Bases of Diplomatic Immunity"|"Guiseppe M. Palliccia"|"H. J. S. Jenkins"|"ZDVTQR272575950"|"ZDVTQR272575950"|""
"cho_byil_1938_0019_000_0000"|"58"|"58"|"Les Principes du Droit des Gens Moderne"|"Diritto Internazionale Pubblico"|"J. C. Hales"|"Guiseppe M. Palliccia"|"MYSSBR593814558"|"MYSSBR593814558"|""
"cho_byil_1938_0019_000_0000"|"59"|"59"|"Die Lehre vom Primat des Voelkerrechts in der neueren Literatur"|"Les Principes du Droit des Gens Moderne"|"V. R. Idelson"|"J. C. Hales / C."|"FWFIVW094065775"|"FWFIVW094065775"|""
"cho_byil_1938_0019_000_0000"|"60"|"60"|"Legal Machinery for Peaceful Change"|"Die Lehre vom Primat des Voelkerrechts in der neueren Literatur"|"J. F. W."|"V. R. Idelson"|"MNFXBK006244672"|"MNFXBK006244672"|""
"cho_byil_1938_0019_000_0000"|"61"|"61"|"Cases on International Law"|"Legal Machinery for Peaceful Change"|"C."|"J. F. W."|"DUTLDD562101622"|"DUTLDD562101622"|""
"cho_byil_1938_0019_000_0000"|"62"|"62"|"Problèmes actuels de l'Organisation du Monde"|"Cases on International Law"|"J. F. W."|"C."|"QHNMSO302054117"|"QHNMSO302054117"|""
"cho_byil_1938_0019_000_0000"|"63"|"63"|"Völkerrecht"|"Problèmes actuels de l'Organisation du Monde"|"H. L."|"J. F. W."|"PLVNJM722642711"|"PLVNJM722642711"|""
"cho_byil_1938_0019_000_0000"|"64"|"64"|"Pitt Cobbett's Leading Cases on International Law. Vol. II. War and Neutrality"|"Völkerrecht"|"E."|"H. L."|"GXSZEK043704758"|"GXSZEK043704758"|""
"cho_byil_1938_0019_000_0000"|"65"|"65"|"The American Journal of International Law Vol. XXXI"|"Pitt Cobbett's Leading Cases on International Law. Vol. II. War and Neutrality"|""|"E."|"JSEYBP323621793"|"JSEYBP323621793"|""
"cho_byil_1938_0019_000_0000"|"66"|"66"|"Revue Générale de Droit International Public, 1937"|"Reviews of Current Periodicals"|"W."|""|"SPOLYC345123742"|"SPOLYC345123742"|""
"cho_byil_1938_0019_000_0000"|"67"|"67"|"Journal de Droit International (Clunet), 1937"|"The American Journal of International Law Vol. XXXI"|"E."|""|"IRTEMV822181491"|"IRTEMV822181491"|""
"cho_byil_1938_0019_000_0000"|"68"|"68"|"Revue Internationale francaise du droit des gens, 1937. Vol. III, Nos. 1-5, Vol. IV, Nos. 1-2"|"Revue Générale de Droit International Public, 1937"|"J. M. J."|"W."|"SNYGJI742777675"|"SNYGJI742777675"|""
"cho_byil_1938_0019_000_0000"|"69"|"69"|"Revue de Droit International et de législation comparée"|"Journal de Droit International (Clunet), 1937"|"J. C. Hales"|"E."|"VDCBHA280436294"|"VDCBHA280436294"|""
"cho_byil_1938_0019_000_0000"|"70"|"70"|"Niemeyers Zeitschrift für Internationales Recht"|"Revue Internationale francaise du droit des gens, 1937. Vol. III, Nos. 1-5, Vol. IV, Nos. 1-2"|"J. F. W."|"J. M. J."|"PQZBGG472931116"|"PQZBGG472931116"|""
"cho_byil_1938_0019_000_0000"|"71"|"71"|"Journal of Comparative Legislation and International Law, 1937"|"Revue de Droit International et de législation comparée"|"R. Y. J."|"J. C. Hales"|"UUBSMC613907946"|"UUBSMC613907946"|""
"cho_byil_1938_0019_000_0000"|"72"|"72"|"Nordisk Tidsskrift for International Ret (Acta scandinavica juris gentium). Vol. VIII (1937)"|"Niemeyers Zeitschrift für Internationales Recht"|"J. J."|"J. F. W."|"LKYDSJ355656647"|"LKYDSJ355656647"|""
"cho_byil_1938_0019_000_0000"|"73"|"73"|"Bibliography"|"Journal of Comparative Legislation and International Law, 1937"|""|"R. Y. J."|"WJGSKQ403051150"|"WJGSKQ403051150"|""
"cho_byil_1938_0019_000_0000"|"74"|"74"|"Index"|"Nordisk Tidsskrift for International Ret (Acta scandinavica juris gentium). Vol. VIII (1937)"|""|"J. J."|"QFNVZQ730839584"|"QFNVZQ730839584"|""
"cho_byil_1947_0024_000_0000"|"38"|"38"|"Académie de Droit international de La Haye. Recueil des Cours, vol. 67 (1939)(I)"|"The International Refugee Organisation (I.R.O.)"|"R. Y. J."|""|"NSFLKL574501288"|"NSFLKL574501288"|""
"cho_byil_1947_0024_000_0000"|"39"|"39"|"The Progressive Development of International Law"|"Reviews of Books"|"D. H. N. Johnson"|""|"LFFXTQ527988130"|"LFFXTQ527988130"|""
"cho_byil_1947_0024_000_0000"|"40"|"40"|"International Straits"|"Académie de Droit international de La Haye. Recueil des Cours, vol. 67 (1939)(I)"|"J. M. J."|"R. Y. J."|"LLPQEU552012862"|"LLPQEU552012862"|""
"cho_byil_1947_0024_000_0000"|"41"|"41"|"The Control of Alien Property. Supplement to Trading with the Enemy in World War II"|"The Progressive Development of International Law"|"F. A. Mann"|"D. H. N. Johnson"|"KULCLX680483252"|"KULCLX680483252"|""
"cho_byil_1947_0024_000_0000"|"42"|"42"|"Immunities and Privileges of International Officials. The Experience of the League of Nations"|"International Straits"|"J. G."|"J. M. J."|"AWMGLQ103071033"|"AWMGLQ103071033"|""
"cho_byil_1947_0024_000_0000"|"43"|"43"|"La Jurisprudence des Prises Maritimes et le Droit International Privé"|"The Control of Alien Property. Supplement to Trading with the Enemy in World War II"|"S. W. D. Rowson"|"F. A. Mann"|"FBQWDT277680587"|"FBQWDT277680587"|""
"cho_byil_1947_0024_000_0000"|"44"|"44"|"A Modern Law of Nations. An Introduction"|"Immunities and Privileges of International Officials. The Experience of the League of Nations"|"H. Lauterpacht"|"J. G."|"QFASNJ931838059"|"QFASNJ931838059"|""
"cho_byil_1947_0024_000_0000"|"45"|"45"|"The Double Taxation Conventions"|"La Jurisprudence des Prises Maritimes et le Droit International Privé"|"A. M."|"S. W. D. Rowson"|"PXAFOO291678035"|"PXAFOO291678035"|""
"cho_byil_1947_0024_000_0000"|"46"|"46"|"Recognition in International Law"|"A Modern Law of Nations. An Introduction"|"E."|"H. Lauterpacht"|"IEPHCW637501142"|"IEPHCW637501142"|""
"cho_byil_1947_0024_000_0000"|"47"|"47"|"Law Reports of Trials of War Criminals"|"The Double Taxation Conventions"|"M. W. Parkington"|"A. M."|"SHQBZH958715842"|"SHQBZH958715842"|""
"cho_byil_1947_0024_000_0000"|"48"|"48"|"Recueil de lois modernes concernant le Droit International Privé"|"Recognition in International Law"|"A. M."|"E."|"SSMHKH379129508"|"SSMHKH379129508"|""
"cho_byil_1947_0024_000_0000"|"49"|"49"|"International Law, Vol. I (Peace)"|"Law Reports of Trials of War Criminals"|"R. Y. J."|"M. W. Parkington"|"NWFNCU553418721"|"NWFNCU553418721"|""
"cho_byil_1947_0024_000_0000"|"50"|"50"|"A Text-Book of International Law"|"Recueil de lois modernes concernant le Droit International Privé"|"D. H. N. Johnson"|"A. M."|"JSJNEV282281919"|"JSJNEV282281919"|""
"cho_byil_1947_0024_000_0000"|"51"|"51"|"Les Sources du Droit International"|"International Law, Vol. I (Peace)"|"J. M. J."|"R. Y. J."|"RPUJIJ829640780"|"RPUJIJ829640780"|""
"cho_byil_1947_0024_000_0000"|"52"|"52"|"Air Power and War Rights"|"A Text-Book of International Law"|"R. Y. J."|"D. H. N. Johnson"|"DCCWMU297888312"|"DCCWMU297888312"|""
"cho_byil_1947_0024_000_0000"|"53"|"53"|"Grundlinien der Antiken Rechts- und Staatsphilosophie"|"Les Sources du Droit International"|"A. M."|"J. M. J."|"NSTYBR023849290"|"IDWZOS815294164"|""
"cho_byil_1947_0024_000_0000"|"54"|"54"|"The Conflict of Laws in Matters of Personal Status in Palestine"|"Air Power and War Rights"|"Norman Bentwich"|"R. Y. J."|"FMRUCE779508488"|"XIRDAE334405961"|""
"cho_byil_1947_0024_000_0000"|"55"|"55"|"Index"|"Grundlinien der Antiken Rechts- und Staatsphilosophie"|""|"A. M."|"EJKEZN599917122"|"NSTYBR023849290"|""
"cho_byil_1947_0024_000_0000"|"56"|"56"|"Back Matter"|"The Conflict of Laws in Matters of Personal Status in Palestine"|""|"Norman Bentwich"|"SATFFJ396047580"|"FMRUCE779508488"|""
"cho_byil_1952_0029_000_0000"|"24"|"24"|"Académie de Droit International de la Haye: Recueil des Cours. Volumes 76 and 77"|"Reviews of Books"|"F. M."|""|"PCYMFU461174435"|"PCYMFU461174435"|""
"cho_byil_1952_0029_000_0000"|"25"|"25"|"Annuaire de l'Institut de Droit International"|"Académie de Droit International de la Haye: Recueil des Cours. Volumes 76 and 77"|"D. H. N. Johnson"|"F. M."|"OXXNQC628765503"|"OXXNQC628765503"|""
"cho_byil_1952_0029_000_0000"|"26"|"26"|"Year Book of the United Nations, 1951"|"Annuaire de l'Institut de Droit International"|"H. L."|"D. H. N. Johnson"|"FCFGJP445148840"|"FCFGJP445148840"|""
"cho_byil_1952_0029_000_0000"|"27"|"27"|"Communicazioni e Studi. Volume III"|"Year Book of the United Nations, 1951"|"K. Lipstein"|"H. L."|"EKRYFF749251414"|"EKRYFF749251414"|""
"cho_byil_1952_0029_000_0000"|"28"|"28"|"I Diritti Assoluti nell' Ordinamento Internazionale"|"Communicazioni e Studi. Volume III"|"K. Lipstein"|"K. Lipstein"|"PKVHUZ164826199"|"PKVHUZ164826199"|""
"cho_byil_1952_0029_000_0000"|"29"|"29"|"Contributo alla Teoria degli Atti Unilaterali nel Diritto Internazionale"|"I Diritti Assoluti nell' Ordinamento Internazionale"|"K. L."|"K. Lipstein"|"RJEKFG776981291"|"RJEKFG776981291"|""
"cho_byil_1952_0029_000_0000"|"30"|"30"|"La satisfaction comme mode de réparation en droit international"|"Contributo alla Teoria degli Atti Unilaterali nel Diritto Internazionale"|"D. H. N. Johnson"|"K. L."|"NFGPGE454332602"|"NFGPGE454332602"|""
"cho_byil_1952_0029_000_0000"|"31"|"31"|"State Insolvency and Foreign Bondholders"|"La satisfaction comme mode de réparation en droit international"|"F. A. Mann"|"D. H. N. Johnson"|"NOTQZA618761698"|"NOTQZA618761698"|""
"cho_byil_1952_0029_000_0000"|"32"|"32"|"Festschrift für Martin Wolff. Beitrage zum Zivilrecht und internationalen Privatrecht"|"State Insolvency and Foreign Bondholders"|"K. Lipstein"|"F. A. Mann"|"LMTWRQ105320810"|"LMTWRQ105320810"|""
"cho_byil_1952_0029_000_0000"|"33"|"33"|"Le Droit de veto dans l'Organisation des Nations Unies"|"Festschrift für Martin Wolff. Beitrage zum Zivilrecht und internationalen Privatrecht"|"D. L. Bowett"|"K. Lipstein"|"UXOFUB138321784"|"UXOFUB138321784"|""
"cho_byil_1952_0029_000_0000"|"34"|"34"|"The Conflict of Laws"|"Le Droit de veto dans l'Organisation des Nations Unies"|"A. B. Lyons"|"D. L. Bowett"|"AORHQF744314896"|"AORHQF744314896"|""
"cho_byil_1952_0029_000_0000"|"35"|"35"|"De Iure Praedae Commentarius"|"The Conflict of Laws"|"E. Lauterpacht"|"A. B. Lyons"|"PEMERE392030345"|"PEMERE392030345"|""
"cho_byil_1952_0029_000_0000"|"36"|"36"|"The Case Law of the International Court"|"De Iure Praedae Commentarius"|"D. H. N. Johnson"|"E. Lauterpacht"|"VYQJOG197707306"|"VYQJOG197707306"|""
"cho_byil_1952_0029_000_0000"|"37"|"37"|"Die Rechtsprechung der Nürnberger Militartribunale"|"The Case Law of the International Court"|"F. Honig"|"D. H. N. Johnson"|"TPKUZK576285034"|"TPKUZK576285034"|""
"cho_byil_1952_0029_000_0000"|"38"|"38"|"The International Labour Code, 1951. A systematic arrangement of the Conventions and Recommendations adopted by the International Labour Conference, 1919-51. With Appendices embodying other standards of social policy framed by or with the co-operation of the International Labour Organization, 1919-51"|"Die Rechtsprechung der Nürnberger Militartribunale"|"O. Kahn-Freund"|"F. Honig"|"IAVETN961960896"|"IAVETN961960896"|""
"cho_byil_1952_0029_000_0000"|"39"|"39"|"Principles of International Law"|"The International Labour Code, 1951. A systematic arrangement of the Conventions and Recommendations adopted by the International Labour Conference, 1919-51. With Appendices embodying other standards of social policy framed by or with the co-operation of the International Labour Organization, 1919-51"|"H. Lauterpacht"|"O. Kahn-Freund"|"JCHDQG612822335"|"JCHDQG612822335"|""
"cho_byil_1952_0029_000_0000"|"40"|"40"|"Die deutsche Rechtsprechung auf dem Gebiete des internationalen Privatrechts in den Fahren 1945-1949"|"Principles of International Law"|"K. Lipstein"|"H. Lauterpacht"|"MYJXLZ833174500"|"MYJXLZ833174500"|""
"cho_byil_1952_0029_000_0000"|"41"|"41"|"History of the Second World War. Volume I: The Economic Blockade"|"Die deutsche Rechtsprechung auf dem Gebiete des internationalen Privatrechts in den Fahren 1945-1949"|"H. L."|"K. Lipstein"|"PELJFX561011083"|"PELJFX561011083"|""
"cho_byil_1952_0029_000_0000"|"42"|"42"|"International Law. By L. Oppenheim. Volume II: Disputes, War, and Neutrality"|"History of the Second World War. Volume I: The Economic Blockade"|"F. A. Mann"|"H. L."|"PFWJAC086091356"|"LHWYON277420217"|""
"cho_byil_1952_0029_000_0000"|"43"|"43"|"La Communauté européenne du charbon et de l'acier"|"International Law. By L. Oppenheim. Volume II: Disputes, War, and Neutrality"|"G. G. F."|"F. A. Mann"|"XTKFBY842332097"|"PFWJAC086091356"|""
"cho_byil_1952_0029_000_0000"|"44"|"44"|"Table of Cases"|"La Communauté européenne du charbon et de l'acier"|""|"G. G. F."|"ZRZVHO679138752"|"XTKFBY842332097"|""
"cho_byil_1958_0034_000_0000"|"27"|"27"|"British Nationality Law"|"The Development of International Law by the International Court"|"P. B. Carter"|"C. W. Jenks"|"MWDJKF996250361"|"MWDJKF996250361"|""
"cho_byil_1958_0034_000_0000"|"28"|"28"|"Aggression and World Order. A Critique of United Nations Theories of Aggression"|"British Nationality Law"|"L. Gross"|"P. B. Carter"|"CMZUHI541889874"|"CMZUHI541889874"|""
"cho_byil_1958_0034_000_0000"|"29"|"29"|"Cour de Justice de la Communauté Européenne du Charbon et de l'Acier: Recueil de la Jurisprudence de la Cour."|"Aggression and World Order. A Critique of United Nations Theories of Aggression"|"Clive Parry"|"L. Gross"|"NBISRV684477619"|"NBISRV684477619"|""
"cho_byil_1958_0034_000_0000"|"30"|"30"|"Festgabe für Alexander N. Makarov: Abhandlungen zum Völkerrecht"|"Cour de Justice de la Communauté Européenne du Charbon et de l'Acier: Recueil de la Jurisprudence de la Cour."|"F. A. Mann"|"Clive Parry"|"UXFEYN066072259"|"UXFEYN066072259"|""
"cho_byil_1958_0034_000_0000"|"31"|"31"|"Fundamental Problems of International Law: Festschrift für Jean Spiropoulos"|"Festgabe für Alexander N. Makarov: Abhandlungen zum Völkerrecht"|"Clive Parry"|"F. A. Mann"|"PMLYBW752062544"|"PMLYBW752062544"|""
"cho_byil_1958_0034_000_0000"|"32"|"32"|"United Nations Legislative Series: Laws and Regulations on the Régime of the Territorial Sea"|"Fundamental Problems of International Law: Festschrift für Jean Spiropoulos"|"Clive Parry"|"Clive Parry"|"SFAZCX916311759"|"SFAZCX916311759"|""
"cho_byil_1958_0034_000_0000"|"33"|"33"|"Self-Defence in International Law"|"United Nations Legislative Series: Laws and Regulations on the Régime of the Territorial Sea"|"K. R. Simmonds"|"Clive Parry"|"BIYQTP609434699"|"BIYQTP609434699"|""
"cho_byil_1958_0034_000_0000"|"34"|"34"|"The Basis of Obligation in International Law and Other Papers"|"Self-Defence in International Law"|"Ch. De Visscher"|"K. R. Simmonds"|"RNMGKF287823064"|"RNMGKF287823064"|""
"cho_byil_1958_0034_000_0000"|"35"|"35"|"Dicey's Conflict of Laws. 7th edition"|"The Basis of Obligation in International Law and Other Papers"|"R. O. Wilberforce"|"Ch. De Visscher"|"SICZCX450999807"|"SICZCX450999807"|""
"cho_byil_1958_0034_000_0000"|"36"|"36"|"Les Aspects furidiques de l' Assistance Technique dans le Cadre des Nations Unies et des Institutions Spécialisées"|"Dicey's Conflict of Laws. 7th edition"|"S. Toriguian"|"R. O. Wilberforce"|"VRVNGU907673910"|"VRVNGU907673910"|""
"cho_byil_1958_0034_000_0000"|"37"|"37"|"L'Énergie Atomique et les États-Unis: Droit Interne et Droit International"|"Les Aspects furidiques de l' Assistance Technique dans le Cadre des Nations Unies et des Institutions Spécialisées"|"P. J. Fitzgerald"|"S. Toriguian"|"YYTXXH020036828"|"YYTXXH020036828"|""
"cho_byil_1958_0034_000_0000"|"38"|"38"|"The International Protection of Trade Union Freedom"|"L'Énergie Atomique et les États-Unis: Droit Interne et Droit International"|"D. H. N. Johnson"|"P. J. Fitzgerald"|"XINLJD278858593"|"XINLJD278858593"|""
"cho_byil_1958_0034_000_0000"|"39"|"39"|"Gleichberechtigung von Individuen als Problem des Völkerrechts"|"The International Protection of Trade Union Freedom"|"F. A. Mann"|"D. H. N. Johnson"|"TJERRF764679023"|"TJERRF764679023"|""
"cho_byil_1958_0034_000_0000"|"40"|"40"|"International Law"|"Gleichberechtigung von Individuen als Problem des Völkerrechts"|"E. Lauterpacht"|"F. A. Mann"|"JHAXWD082586904"|"JHAXWD082586904"|""
"cho_byil_1958_0034_000_0000"|"41"|"41"|"Termination of Membership of International Organisations"|"International Law"|"D. C. Holland"|"E. Lauterpacht"|"BOKEEE888963216"|"BOKEEE888963216"|""
"cho_byil_1958_0034_000_0000"|"42"|"42"|"International Law Studies, 1955: The Law of War and Neutrality at Sea"|"Termination of Membership of International Organisations"|"D. J. L. Brown"|"D. C. Holland"|"KZRSME942604216"|"KZRSME942604216"|""
"cho_byil_1958_0034_000_0000"|"43"|"43"|"Book Reviews: The International Court of Justice"|"International Law Studies, 1955: The Law of War and Neutrality at Sea"|"C. H. M. Waldock"|"D. J. L. Brown"|"ORGAUZ616061421"|"ORGAUZ616061421"|""
"cho_byil_1958_0034_000_0000"|"44"|"44"|"Human Rights and the United Nations"|"Book Reviews: The International Court of Justice"|"A. Rogerson"|"C. H. M. Waldock"|"DRBRDZ665555044"|"DRBRDZ665555044"|""
"cho_byil_1958_0034_000_0000"|"45"|"45"|"Communicazioni e Studi. Volume VIII"|"Human Rights and the United Nations"|"K. Lipstein"|"A. Rogerson"|"KOOTRY786284069"|"KOOTRY786284069"|""
"cho_byil_1958_0034_000_0000"|"46"|"46"|"Académie de Droit International de la Haye: Recueil des Cours, 1956. Volume 90"|"Communicazioni e Studi. Volume VIII"|"K. R. Simmonds"|"K. Lipstein"|"ZXPYRT305844361"|"ZXPYRT305844361"|""
"cho_byil_1958_0034_000_0000"|"47"|"47"|"Table of Cases"|"Académie de Droit International de la Haye: Recueil des Cours, 1956. Volume 90"|""|"K. R. Simmonds"|"RNGRHC398355983"|"GGQNUJ080414949"|""
"cho_byil_1960_0036_000_0000"|"20"|"20"|"Decisions of British Courts during 1959-60 Involving Questions of Public or Private International Law"|"Decisions of British Courts During 1959-60 Involving Questions of Public or Private International Law"|"D. W. Bowett"|""|"ATSJZW738909588"|"ATSJZW738909588"|""
"cho_byil_1960_0036_000_0000"|"21"|"21"|"B. Private International Law"|"A. Public International Law"|"P. B. Carter"|"D. W. Bowett"|"QSSGJY657638406"|"QSSGJY657638406"|""
"cho_byil_1960_0036_000_0000"|"22"|"22"|"Reviews of Books"|"B. Private International Law"|""|"P. B. Carter"|"UQVGOZ222131430"|"UQVGOZ222131430"|""
"cho_byil_1960_0036_000_0000"|"23"|"23"|"Académie de Droit International de la Haye: Recueil des Cours, 1958. Volumes 93, 94 and 95"|"Reviews of Books"|"Ian Brownlie"|""|"DWVHMK765831837"|"DWVHMK765831837"|""
"cho_byil_1960_0036_000_0000"|"24"|"24"|"Dictionnaire de la terminologie du droit international"|"Académie de Droit International de la Haye: Recueil des Cours, 1958. Volumes 93, 94 and 95"|"C. H. M. Waldock"|"Ian Brownlie"|"TADAWK125632861"|"TADAWK125632861"|""
"cho_byil_1960_0036_000_0000"|"25"|"25"|"The Soviet Year Book of International Law, 1958"|"Dictionnaire de la terminologie du droit international"|"M. J. L. Hardy"|"C. H. M. Waldock"|"JJRZVX792328351"|"JJRZVX792328351"|""
"cho_byil_1960_0036_000_0000"|"26"|"26"|"Varia Juris Gentium-Liber Amicorum Presented to J. P. A. Francois"|"The Soviet Year Book of International Law, 1958"|"C. H. M. Waldock"|"M. J. L. Hardy"|"WBCZIP322496397"|"WBCZIP322496397"|""
"cho_byil_1960_0036_000_0000"|"27"|"27"|"The Doctrine of Equality of States as Applied in International Organizations"|"Varia Juris Gentium-Liber Amicorum Presented to J. P. A. Francois"|"P. J. Fitzgerald"|"C. H. M. Waldock"|"LFYRDG225120749"|"LFYRDG225120749"|""
"cho_byil_1960_0036_000_0000"|"28"|"28"|"Legal Problems Involved in the Corfu Channel Incident"|"The Doctrine of Equality of States as Applied in International Organizations"|"M. J. L. Hardy"|"P. J. Fitzgerald"|"QPQVTW491951340"|"QPQVTW491951340"|""
"cho_byil_1960_0036_000_0000"|"29"|"29"|"The Saar Conflict 1945-1955"|"Legal Problems Involved in the Corfu Channel Incident"|"Max Beloff"|"M. J. L. Hardy"|"MMRMJI667063401"|"MMRMJI667063401"|""
"cho_byil_1960_0036_000_0000"|"30"|"30"|"The Case Law of the International Court, Volume II"|"The Saar Conflict 1945-1955"|"C. H. M. Waldock"|"Max Beloff"|"CKTUME288759861"|"CKTUME288759861"|""
"cho_byil_1960_0036_000_0000"|"31"|"31"|"International Control of Nuclear Maritime Activities"|"The Case Law of the International Court, Volume II"|"M. J. L. Hardy"|"C. H. M. Waldock"|"UBPNAW826804574"|"UBPNAW826804574"|""
"cho_byil_1960_0036_000_0000"|"32"|"32"|"Introduction to International Law. Present Conceptions of International Law in Theory and Practice"|"International Control of Nuclear Maritime Activities"|"D. H. N. Johnson"|"M. J. L. Hardy"|"BIBKHN567305207"|"BIBKHN567305207"|""
"cho_byil_1960_0036_000_0000"|"33"|"33"|"The Role of Nationality in International Law"|"Introduction to International Law. Present Conceptions of International Law in Theory and Practice"|"P. B. Carter"|"D. H. N. Johnson"|"WTZOWK903968765"|"WTZOWK903968765"|""
"cho_byil_1960_0036_000_0000"|"34"|"34"|"The Minquiers and Ecrehos Case. An Analysis of the Decision of the International Court of Justice"|"The Role of Nationality in International Law"|"D. H. N. Johnson"|"P. B. Carter"|"ITWTXK822154409"|"ITWTXK822154409"|""
"cho_byil_1960_0036_000_0000"|"35"|"35"|"Internationales Recht: Gesammelte Schriften und Vorlesungen. Band I; Das Recht des Völkerrechtlichen Gebietserwerbs"|"The Minquiers and Ecrehos Case. An Analysis of the Decision of the International Court of Justice"|"K. R. Simmonds"|"D. H. N. Johnson"|"ZQSLQY873513304"|"ZQSLQY873513304"|""
"cho_byil_1960_0036_000_0000"|"36"|"36"|"Wörterbuch des Völkerrechts"|"Internationales Recht: Gesammelte Schriften und Vorlesungen. Band I; Das Recht des Völkerrechtlichen Gebietserwerbs"|"K. R. Simmonds"|"K. R. Simmonds"|"BURHIS618601876"|"BURHIS618601876"|""
"cho_byil_1960_0036_000_0000"|"37"|"37"|"A Manual of International Law"|"Wörterbuch des Völkerrechts"|"G. D. G. Hall"|"K. R. Simmonds"|"EXQLWH324215825"|"EXQLWH324215825"|""
"cho_byil_1960_0036_000_0000"|"38"|"38"|"Le Organizzazioni Internazionali"|"A Manual of International Law"|"K. Lipstein"|"G. D. G. Hall"|"WWUFCO032070427"|"WWUFCO032070427"|""
"cho_byil_1960_0036_000_0000"|"39"|"39"|"United States Commercial Treaties and International Law"|"Le Organizzazioni Internazionali"|"F. A. Mann"|"K. Lipstein"|"KKLIZM531159926"|"KKLIZM531159926"|""
"cho_byil_1960_0036_000_0000"|"40"|"40"|"Das Rechtsschutzsystem der europäischen Menschenrechtskonvention"|"United States Commercial Treaties and International Law"|"Norman S. Marsh"|"F. A. Mann"|"RMQJQB534272273"|"RMQJQB534272273"|""
"cho_byil_1960_0036_000_0000"|"41"|"41"|"La Formazione dell' Ordinamento Marittimo nelle Relazioni Internazionali (Secoli XIV-XVIII)"|"Das Rechtsschutzsystem der europäischen Menschenrechtskonvention"|"K. Lipstein"|"Norman S. Marsh"|"ADKQLL605594328"|"ADKQLL605594328"|""
"cho_byil_1960_0036_000_0000"|"42"|"42"|"Il Regime Giuridico dei Mari"|"La Formazione dell' Ordinamento Marittimo nelle Relazioni Internazionali (Secoli XIV-XVIII)"|"K. Lipstein"|"K. Lipstein"|"AUXHKX891793650"|"AUXHKX891793650"|""
"cho_byil_1960_0036_000_0000"|"43"|"43"|"Table of Cases"|"Il Regime Giuridico dei Mari"|""|"K. Lipstein"|"WLKGTE712044217"|"WLKGTE712044217"|""
"cho_byil_1961_0037_000_0000"|"21"|"21"|"Decisions of British Courts during 1960—1 Involving Questions of Public or Private International Law"|"Decisions of British Courts During 1960-1 Involving Questions of Public or Private International Law"|"D. W. Bowett"|""|"DVMWGB361091359"|"DVMWGB361091359"|""
"cho_byil_1961_0037_000_0000"|"22"|"22"|"B. Private International Law"|"A. Public International Law"|"P. B. Carter"|"D. W. Bowett"|"FXTEND270109776"|"FXTEND270109776"|""
"cho_byil_1961_0037_000_0000"|"23"|"23"|"Reviews of Books"|"B. Private International Law"|""|"P. B. Carter"|"HMJRBN286279250"|"HMJRBN286279250"|""
"cho_byil_1961_0037_000_0000"|"24"|"24"|"The Law of Treaties"|"Reviews of Books"|"G. G. Fitzmaurice"|""|"OFWLJR376767559"|"OFWLJR376767559"|""
"cho_byil_1961_0037_000_0000"|"25"|"25"|"Académie de Droit International de la Haye: Recueil des cours, 1959. Volumes 96, 97 and 98"|"The Law of Treaties"|"Ian Brownlie"|"G. G. Fitzmaurice"|"MOYQPV326871990"|"MOYQPV326871990"|""
"cho_byil_1961_0037_000_0000"|"26"|"26"|"Académie de Droit International de la Haye: Recueil des cours, 1960. Volumes 99, 100 and 101"|"Académie de Droit International de la Haye: Recueil des cours, 1959. Volumes 96, 97 and 98"|"Ian Brownlie"|"Ian Brownlie"|"LVHVJR603474347"|"LVHVJR603474347"|""
"cho_byil_1961_0037_000_0000"|"27"|"27"|"XXth Century Comparative Law and Conflicts of Law: Legal Essays in Honor of Hessel E. Yntema"|"Académie de Droit International de la Haye: Recueil des cours, 1960. Volumes 99, 100 and 101"|"K. Lipstein"|"Ian Brownlie"|"GDBQPG229756328"|"GDBQPG229756328"|""
"cho_byil_1961_0037_000_0000"|"28"|"28"|"Fontes Juris Gentium, Series A, Sectio I, Tomus 5"|"XXth Century Comparative Law and Conflicts of Law: Legal Essays in Honor of Hessel E. Yntema"|"Humphrey Waldock"|"K. Lipstein"|"WWRJPB138576507"|"WWRJPB138576507"|""
"cho_byil_1961_0037_000_0000"|"29"|"29"|"Intervention"|"Fontes Juris Gentium, Series A, Sectio I, Tomus 5"|"K. R. Simmonds"|"Humphrey Waldock"|"IVWOGF237451771"|"IVWOGF237451771"|""
